,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
0,.\test\VOICEACTRESS100_017.wav,5.0001875,16000,1,3.2000952,3.5052588,3.896164,2.9227098969128984,3.2528423553812953,3.8747408680754774,3.3338459
1,.\test\VOICEACTRESS100_012.wav,5.1775,16000,1,2.7019486,2.9619849,3.500944,2.565979346828354,2.8846291622132165,3.6237025378548644,3.7821674
2,.\test\VOICEACTRESS100_003.wav,4.8096875,16000,1,2.1873345,2.6199408,2.827399,2.1621915352276515,2.6273744596126547,3.1010927877041423,3.4254858
3,.\test\VOICEACTRESS100_013.wav,4.8898125,16000,1,2.9094923,3.0740592,4.1051044,2.7186855172813935,2.964647590293625,3.99083596341334,3.0937512
4,.\test\VOICEACTRESS100_009.wav,5.734375,16000,2,2.7630239,3.0332813,3.5787196,2.611414337554783,2.9348871896737814,3.676297288529258,3.829452
5,.\test\VOICEACTRESS100_004.wav,5.4488125,16000,1,2.751989,2.9214494,3.7092264,2.6033311787824274,2.855168354030632,3.761127332034449,3.520155
6,.\test\VOICEACTRESS100_005.wav,10.55375,16000,1,3.3857923,3.6571841,3.9042385,3.047098137709349,3.3469432742323764,3.879440925353043,3.8805087
7,.\test\VOICEACTRESS100_030.wav,4.98825,16000,1,2.7880013,3.2666614,3.3197627,2.6300024481893955,3.0972332957037687,3.4948681538919852,3.9011118
8,.\test\VOICEACTRESS100_016.wav,4.91025,16000,1,3.122046,3.4049766,3.9595494,2.8690361983886943,3.1886048068513237,3.91117498264337,3.331627
9,.\test\VOICEACTRESS100_020.wav,6.2341875,16000,3,2.1416757,2.421304,3.2206821,2.1243002049505084,2.468773497435098,3.419672666404756,3.5495617
10,.\test\VOICEACTRESS100_022.wav,12.4640625,16000,3,3.185755,3.5386827,3.7643301,2.91255200569484,3.2727660619480616,3.795391762022632,3.7443402
11,.\test\VOICEACTRESS100_011.wav,6.1314375,16000,3,2.796354,3.0013516,3.7132587,2.6360269892804076,2.9127979965627335,3.76274656920886,3.6217794
12,.\test\VOICEACTRESS100_021.wav,6.062375,16000,3,3.3913538,3.5843382,4.238699,3.0498191126469383,3.3016779158570913,4.056369622436737,3.8559952
13,.\test\VOICEACTRESS100_018.wav,6.1385,16000,3,2.6942883,2.9167068,3.6846714,2.559381082762783,2.8508872999313386,3.742896475148511,3.5339193
14,.\test\VOICEACTRESS100_001.wav,6.9099375,16000,4,3.4991624,3.7463684,4.1486683,3.1205531192201477,3.3999458397416835,4.0134970648661845,3.6937628
15,.\test\VOICEACTRESS100_033.wav,2.937875,16000,2,3.0820699,3.2762372,4.0821843,2.8411958346263884,3.1033410340889844,3.9782628788240966,3.6769123
16,.\test\VOICEACTRESS100_027.wav,6.474875,16000,3,2.872216,3.1065323,3.8141,2.6916556808674628,2.987338003855694,3.825571473450465,3.554527
17,.\test\VOICEACTRESS100_037.wav,5.5969375,16000,2,3.4482403,3.6898534,4.094779,3.08786385703472,3.3666700159037557,3.9851886642197836,3.8407216
18,.\test\VOICEACTRESS100_019.wav,7.371625,16000,5,2.9450152,3.2890449,3.7027194,2.743472011297131,3.1117908458797894,3.754814403427069,3.8207078
19,.\test\VOICEACTRESS100_023.wav,6.667,16000,4,2.8372548,3.2207718,3.6544337,2.6661587810855862,3.065954737393044,3.7257662391929305,3.8368695
20,.\test\VOICEACTRESS100_008.wav,7.27375,16000,5,2.9892898,3.3259988,3.8139343,2.774534549440408,3.1347493373347195,3.824740972595476,3.721686
21,.\test\VOICEACTRESS100_044.wav,9.226875,16000,1,3.1002274,3.6304202,3.525873,2.8538842877480004,3.3306472842074806,3.640752560764649,3.9831984
22,.\test\VOICEACTRESS100_041.wav,5.6861875,16000,2,3.1323833,3.3555346,4.00938,2.8747341392501693,3.154965762400671,3.9363227931177267,3.4530787
23,.\test\VOICEACTRESS100_006.wav,3.723375,16000,5,2.77316,3.0705342,3.4861572,2.618183928370659,2.9614169645811743,3.6111580724909933,3.5539098
24,.\test\VOICEACTRESS100_025.wav,3.8209375,16000,6,3.057149,3.421346,3.7128356,2.823675762914633,3.198964470267071,3.7629425902305296,3.974993
25,.\test\VOICEACTRESS100_038.wav,6.402875,16000,3,3.310355,3.5426157,3.9633389,2.996897391259146,3.276121139397341,3.912756318366354,3.602418
26,.\test\VOICEACTRESS100_039.wav,6.151375,16000,3,2.6992865,3.3319442,2.9943764,2.563884178663652,3.140370478899472,3.241397177623386,3.4699051
27,.\test\VOICEACTRESS100_036.wav,6.9599375,16000,4,3.1987762,3.5993161,3.7789257,2.9213400126733258,3.3113584439711667,3.7997697767937577,3.6754737
28,.\test\VOICEACTRESS100_024.wav,7.8340625,16000,6,3.4389887,3.6752663,4.1353793,3.0812966534336703,3.35723426026124,4.006376871533562,3.5168908
